word,frequency_classification,definition,word_types,word_endings,sentences
bunda,5,Állat sűrű szőrzete.,fn,"*k,*t,*ja","A macska nyalogatja a bundáját.,A róka bundájából készült a kabát gallérja.,Gyapjas juhbőrből készült ujjatlan köpeny.,A juhász nyakába kanyarította bundáját.,Szőrmekabát.,Vett a feleségének egy bundát.,Híg, tésztaszerű anyagba forgatott, zsírban sütött étel külső burka.,Almát sütött bundában.,(bizalmas) (Sportversennyel kapcsolatban:) A csapatoknak a mérkőzés eredményében való előzetes megállapodása.,A nézők dühödt fütyüléssel tiltakoztak a nyilvánvaló bunda ellen."
bundás,3,"Olyan, aminek (hosszú szőrű) bundája van.",mn,"~ak,~at,vagy,~t,~an","A kertkapunál egy bundás kutya ugatása fogadott bennünket.,Egy bundás állatot láttunk a parkban egy fán, nem tudtuk megállapítani, mókus volt-e, vagy pele?,(Főnévi használatban:) (népi) Hosszú szőrű (juhász)kutya.,A szomszédban egy bundás őrzi a házat.,Bundába öltözött, bundát viselő.,Egymás után érkeztek az operabálra az elegáns, bundás hölgyek.,Állat szőrével bélelt.,Jó meleg a bundás mellényem.,A ballonkabátból kigombolható a bundás bélés.,Felvert tojásba vagy híg tojásos masszába mártott, zsiradékban kisütött (étel).,Bundás kenyeret eszünk a spenóthoz.,A gyerekek kedvenc csemegéje a bundás alma."
bungaló,1,"Nyári lak, (általában fából készült) házikó.",fn,"~t,~ja","Van egy kis bungalója a Dunakanyarban.,A kemping egyik bungalójában éjszakáztak."
bunker,3,Betonból épített vagy földbe ásott fedezék.,fn,"~t,~e,vagy,~je",A bombázás elől az épület alatti bunkerbe húzódtak.
bunkó,4,"Bot kiszélesedő vége, illetve ilyen végű bot.",fn,"~t,~ja","Bunkóval vágták fejbe.,Nyeles fahenger, döngölő.,Bunkóval egyengeti a nyers betonból kiöntött alapot.,(durva) Neveletlen, faragatlan fickó.,Hogy te mekkora bunkó vagy!,(bizalmas) Elégtelen osztályzat.,Kapott egy bunkót."
bunkó,4,(durva) Neveletlen.,mn,"~t,~n","Az a bunkó barátod az oka.,Bunkón viselkedsz."
bunyó,2,(szleng) Verekedés.,fn,"~t,~ja","A film tele van bunyóval.,(Ökölvívásra vonatkoztatva:) A harmadik menetben már igazi bunyót láthattunk."
búr,1,"A Dél-afrikai Köztársaságban élő holland telepesektől származó néphez tartozó, vele kapcsolatos.",mn,~t,"Dél-Afrikában jellegzetes viselet a búr kalap.,(Főnévi használatban:) A búroknak saját nyelvük van, a hollandból kifejlődött afrikaans."
bura,3,(Fél)gömb vagy harang alakú borítóüveg.,fn,"*k,*t,*ja","Beteszi a sajtot a bura alá.,A lámpát védő, fényét tompító porcelán- vagy üvegburok.,Elrepedt a lámpa burája.,Süveg alakú hajszárító.,Húsz percre beülök a bura alá."
burek,1,"(Va, Dv, Mv) Hússal, túróval, almával töltött sült tésztaféle.",fn,"~ok,~ot,~ja",Burekot otthon is lehet sütni rétestésztából.
burgonya,4,Ehető gumójáért termesztett növény.,fn,"*k,*t,*ja","Megkapálja és megöntözi a burgonyát.,Ennek gumója, illetve az ebből készült étel.,Hámozz meg hat szem burgonyát!,Sült burgonyát kér körítésnek."
burgundi,1,Burgundi szőlő : francia eredetű nemes borszőlő.,mn,"~t,~ja","| Burgundi bor vagy vörös : az ebből készült bor.,| Burgundi répa : nagyméretű takarmányrépa.,| Burgundi lé : permetezőszer.,(Főnévi használatban:) Burgundi bor.,Burgundit iszik a marhasülthöz."
búrkifli,1,Hajtogatott vajastésztából sütött diós vagy mákos kifli.,fn,,A kávéhoz két búrkiflit evett.
burkol,4,"Valamilyen anyaggal körülvesz valakit, valamit.",ige,,"Szalvétába burkolja az uzsonnát.,Köpenyét szorosan magára burkolja.,Szilárd fedő- vagy védőréteggel lát el valamit.,Lambériával burkoltam a falat.,A régi utca macskakővel van burkolva.,(választékos) Hamis, megtévesztő formába öntve leplez valamit.,Érzékenységét cinizmusba burkolja.,Tréfába burkolja a sértést.,(szleng) Eszik.,Gyorsan burkolj valamit, aztán indulás!"
burkolat,3,"Valamit (ideiglenesen) betakaró, beburkoló anyag.",fn,"~ok,~ot,~a","A csomag burkolata már akkor sérült volt, amikor átvettük a postán.,Valamit (tartósan) fedő, védő, díszítő anyag, külső réteg.,A készülék burkolatát csak áramtalanítás után szabad megbontani.,A régi utcákban hagyományőrzésből megtartják a bazaltkockákból készült macskakő burkolatot.,A régi műkő burkolatot márványpadlóra cserélték a mellékhelyiségekben."
burkus,1,(régi) Porosz vagy általában német.,mn,"~ok,~t","(Főnévi használatban is:) „…már akkor viselt agg-koszorút, Hogy a Burkus kezdte a másik háborút” (Csokonai Vitéz M.: Dorottya, vagyis a dámák diadalma a fársángon).,(népi) Mesebeli, gazdag nemzethez tartozó.,„Egyszer a burkus király meglátogatta Mátyás királyt” (Mátyás király meg az igazmondó juhász, népmese)."
burleszk,1,"Nyers helyzetkomikummal nevettető, vaskos bohózat.",fn,"~et,~je",A klasszikus burleszk egyik fő tartozéka a tortadobálás.
burnót,1,(régi) Porrá őrölt szárított dohány.,fn,"~ot,~ja",Szippantott a szelencéjéből egy csipetnyi burnótot.
burnusz,1,"Bő, ujjatlan, csuklyás (fehér) köpeny.",fn,"~t,~a",A sivatagi nomádok a homokvihar elől burnuszukba burkolóztak.
burok,4,"Valamit körülvevő, védő, takaró réteg.",fn,,Kihámozza a gesztenyét a burkából.
burzsoá,3,"(kissé régi) A burzsoázia tagja, gazdag nagypolgár.",fn,"~k,~t,~ja","A burzsoá a kapitalista társadalom uralkodó osztályának tagja.,(Jelzőként:) Burzsoá körökben forog."
burzsoázia,2,(kissé régi) A (középkori) városi polgárság.,fn,"*t,*ja","A feudalizmus vége felé a jobbágyság és a nemesség mellett kialakult az új osztály, a burzsoázia.,A (nagy) polgári osztály.,A legerősebb volt az ipari és a kereskedelmi burzsoázia.,Szívesen forgolódik a burzsoázia köreiben."
bús,5,"Bánatos, szomorú.",mn,"~at,~an","Búsan ballagott hazafelé a rossz bizonyítvánnyal.,Bús pillantást vetett rá.,(népi) Panaszos hangú.,Bús gerlice hívogatja párját."
busa,1,"(ritka, kissé régi) Széles (homlok, fej).",mn,"*k,*t,*n","Nagy busa feje van, alig kap rá sapkát.,Sűrű, tömött (szemöldök).,Sötéten pillantott a busa szemöldöke alól."
busa,2,"Zömök testű, széles fejű növényevő hal.",fn,"*k,*t,*ja",A busának a húsa nagyon egészséges étel.
busás,3,"(választékos) Gazdag, bőséges.",mn,"~at,~an","Az üzlet busás hasznot hozott.,A befektetés busásan megtérült."
busójárás,1,A Mohácson honos délszlávok álarcos farsangi felvonulása.,fn,"~t,~a","A busójáráson ijesztő, kereplős álarcosokat látott."
búsul,4,"Bánkódik, szomorkodik.",ige,,"Miért búsulsz?,Azon búsul, hogy nem vitték el kirándulni.,Sose búsulj miatta!"
busz,5,Autóbusz.,fn,"~ok,~t,~a","Busszal utaztunk a tengerpartra.,A falunktól egy kis kilencüléses busszal viszik a gyerekeket a városi iskolába."
buta,5,"Gyenge értelmi képességű, nehéz felfogású, ostoba.",mn,"*k,*t,*n","Buta emberrel nehéz megértetni a dolgot.,(Főnévi használatban:) Ezt a butát nem vesszük be a csapatba.,Buta valamihez : nem ért hozzá, műveletlen, tudatlan.,Nézd meg, kisunokám, mit jelez a mobiltelefon, én buta vagyok az ilyen modern dolgokhoz.,Ésszerűtlenül viselkedő (ember).,Miért vagy ilyen buta?,Tompa eszű személyre valló.,Buta a tekintete és a beszéde is.,Értelmetlen, bosszantóan rossz.,Buta filmet láttunk.,Minden egy buta véletlenen múlt.,(Főnévi használatban:) Butaság, ostobaság.,Butákat beszél."
butélia,1,(népi) Borospalack.,fn,"*k,*t,*ja","Hozz fel néhány butéliát a pincéből!,(Jelzőként:) Egy butélia óbor is állt az ünnepi asztalon."
butik,4,Elsősorban divatcikkeket árusító kisebb bolt.,fn,"~ot,~ja","Ezt a blúzt butikban vásároltam.,(régi) Piszkos kis csapszék; szegényes boltocska.,Egy pálinkás butikban ivott mindig."
bútor,5,Berendezési tárgy(ak együttese).,fn,"~t,~a","A sima, praktikus bútorokat szereti.,Az első dolga az volt, hogy kicserélte a bútort., Öreg bútor : régóta valahol dolgozó személy.,Öreg bútor a néni a jegypénztárban, huszonöt éve árulja a jegyeket."
butykos,2,"(népi) Rendszerint pálinka tárolására használt, szűk nyakú, lapos üveg- vagy cserépedény.",fn,"~t,~a","Meghúzta a butykost.,(bizalmas) (Szeszes) italt tartalmazó palack.,Találsz egy butykost a hűtőben."
búvár,4,"(Légzőkészülékkel felszerelt,) tartósan a víz felszíne alatt dolgozó vagy kutató személy.",fn,"~t,~a,vagy,~ja","A vízbe esett autót búvárok hozták a felszínre.,Búvárok tanulmányozzák a tenger élővilágát.,(választékos) Valaminek a búvára : kutatója.,Az őstörténet búváraként új őshazaelméletet alkotott."
búvópatak,2,"Olyan patak, amely egy-egy szakaszán a föld alatt folyik.",fn,,"Séta közben fel-felbukkant előttünk egy búvópatak.,| Búvópatakként létezik, halad valami : titokban, rejtve.,A nagy író művészete búvópatakként fejlődött."
búza,5,"Kalászos növény, amely hagyományosan a legfinomabbnak tartott kenyérgabonát termi.",fn,"*k,*t,*ja","Kihajtott a búza, reméljük, idejében megérik, és jó aratás lesz.,Ennek termése, általában tömegében.,A búzából lisztet őrölnek.,(Köszönésként vagy jelszóként:) Bort, búzát, békességet!,Búzavetés, búzatábla.,„Búza fölé szállt a dalos pacsirta” (népdal)."
búzavirág,2,"Búza- és rozsvetésekben gyakori, kék virágú növény.",fn,,Mázas köcsögbe rak egy csokor búzavirágot.
buzdít,4,"Biztató szóval jóra késztet, ösztönöz valakit.",ige,,Kitartásra buzdítja társait.
buzgalom,4,"Odaadó igyekezet, lelkes szorgalom.",fn,,"Óriási buzgalommal vetette bele magát az új munkába.,(régi) Vallásos buzgóság.,Nagy buzgalommal fohászkodik."
buzgár,2,"Magas vízálláskor erőteljesen, pontszerűen feltörő víz.",fn,"~t,~a,vagy,~ja","A töltés oldalán buzgár tört fel, de megfékezték."
buzgó,4,"Lelkes szorgalommal, buzgalommal tevékenykedő.",mn,"~t,~n","Buzgó természetvédő a barátja.,Buzgón kutat új adatok után., (gúnyos) Buzgó mócsing : tüntetően buzgólkodó, túlbuzgó személy.,Vallásos buzgóságra valló.,Buzgó imáiba foglalta jótevőjének nevét."
buzog,3,"(népi) Bugyborékolva kavarog, forr.",ige,,"Már buzog a víz a fazékban .,| (átvitt) Buzog benne a vér : a) (izgalomtól, erőfeszítéstől) megélénkül a vérkeringése b) heves indulat fogja el.,Előtör.,Kristályos forrás buzog a kövek közül.,(választékos) Buzog valakiben valami : (heves érzés) áthatja.,Szívében buzgott a szenvedély.,(gúnyos) Feltűnően szorgoskodik.,Folyton ott buzog a vendégek körül."
buzogány,3,"Fémbunkóban végződő, rövid nyelű ütőfegyver.",fn,"~t,~a","A monda szerint Botond a buzogányával rést ütött Bizánc kapuján.,„Hárman sem bírnátok súlyos buzogányát” (Arany J.: Toldi).,Hengeres vagy gömb alakú virágzat vagy termés.,A mák buzogánya szép szobadísz.,Buzogányt gyűjtött a vízparton."
bűbájos,2,Varázslatos hatású (szer).,mn,"~at,~an","Megitatta vele bűbájos italát.,Varázslást űző, varázsló erejű (személy).,A kis Móra Ferkó a bűbájos Küsmödi kincseire áhítozott.,(Főnévi használatban:) Varázsló, szemfényvesztő.,A gyógynövények ismerőit régen bűbájosoknak hitték.,Igézően szép, elragadóan kedves (személy).,Bűbájos ez a kisgyerek.,Bűbájosan mosolyog a kislány.,Bájjal, kedvességgel teli (dolog).,Hallottam egy bűbájos történetet."
büdös,5,"Rossz szagú, bűzös.",mn,"~et,~en","Büdös a szoba a dohányfüsttől.,(bizalmas) Ellenszenves, visszataszító.,Büdös neki a munka.,Öndicséret büdös.,(Szitkozódásban:) Átkozott, ronda.,Valami büdös kölyök betörte az ablakot.,Azt a büdös mindenit!,(kedveskedő, bizalmas) Szeretem ezt a büdös kölyköt.,(bizalmas) Tagadás nyomatékosítására.,Nem tanult egy büdös szót sem.,| Egy büdös vasa sincs : egy árva fillérje sincs, semennyi pénze sincs."
büdös,5,"Kellemetlen, rossz szag, büdösség.",fn,"vagy,~ek,~t,~e","Büdös van a konyhában.,Rossz levegőjű hely.,Ne maradjanak itt a büdösben.,(rosszalló) Semmirekellő, haszontalan személy.,Az a büdös már megint megszökött!,(Kedveskedő, korholó megszólításként:) Te kis büdös!"
büfé,4,"Gyorsétkezde, falatozó (önálló üzletként vagy intézmény tartozékaként).",fn,"~t,~je","A sarki büfében szokott ebédelni.,Leugrik a büfébe egy kávéra.,Mozgó büfék vannak a tóparton.,Összejövetelen állva fogyasztandó ételekkel, italokkal megrakott asztal, illetve az itt elhelyezett ételek sora.,Fáradjon a büféhez!,Hideg büfét állított össze."
bükk,3,"Sima, hamuszín törzsű, tojásdad levelű, makktermésű erdei fa.",fn,"~öt,~je","A bükkök alatt a hűvösben kipihenték magukat.,Ennek faanyaga.,A bükk remek tűzifa.,(Jelzőként:) Ebből készült.,Vettem egy bükk éjjeliszekrényt."
bükkfanyelv,1,"(rosszalló) Furcsa hangzású, idegen nyelv.",fn,,"Szörnyű bükkfanyelven beszél.,Nehézkes, életidegen nyelvhasználat.,Hivatali bükkfanyelve szinte érthetetlen."
bükköny,2,Pillangós virágú takarmánynövény.,fn,"~t,~e","A bükkönyt zabbal együtt szokták vetni.,Ennek fekete magva.,Bükkönyt ad a jószágnak.,Az ezzel bevetett terület.,Még apámtól maradt rám három hold bükköny."
bűn,5,"A törvény megsértése, bűncselekmény.",fn,"~t,~e","Bíróság előtt felel a bűnéért.,A szokásos erkölcsi szabályok megsértése.,Az udvariatlanság is bűn.,A vallás törvényeinek megsértése.,Meggyónja bűneit.,Hiba, mulasztás.,Bűn lenne pusztulni hagyni a kertet.,(választékos) Jellembeli fogyatékosság.,A nagyképűség az egyetlen bűne."
bűnbak,3,"Az a (többé-kevésbé ártatlan) személy, akire valaki a vétkéért a felelősséget átháríthatja.",fn,,Sikerült megtalálniuk a bűnbakot.
bűnbarlang,1,"(választékos, rosszalló) Rossz hírű szórakozóhely.",fn,,Minden pénzét elvesztette valami bűnbarlangban.
bűncselekmény,4,"(hivatalos) Az emberi társadalomra veszélyes, törvény által tiltott cselekedet, magatartás.",fn,"~ek,~t,~e","A bíróság enyhébb büntetést szab ki a gondatlanságból elkövetett élet elleni bűncselekmény esetében, mint ha valaki szándékosan követ el emberölést.,(néha túlzó) Erkölcsi szempontból elítélhető, bűnös cselekedet.,Az anyaméhben fejlődő emberi lények, a magzatok elpusztítása sokak szerint bűncselekmény."
bűnös,5,"Olyan (személy), aki valamely törvényt megsértett, bűncselekményt követett el.",mn,"~ök,vagy,~ek,~t,~en","A bíróság bűnösnek találta a vádlottat a rablásban.,A vádlott nem érzi bűnösnek magát.,(Főnévi használatban:) A bűnösöket börtönbüntetésre ítélték.,Vallási törvény ellen vétkező.,Bűnös embernek vallja magát, mert megszegte Isten parancsolatait.,(Főnévi használatban:) A megtért bűnös bocsánatot nyer.,Bűnre vezető, bűnre irányuló (gondolat, magatartás).,Bűnös gondolatai miatt lelkiismeret-furdalása van.,Vétkes, hibás valamiben.,Bűnös mulasztást követett el.,Ő is bűnös benne, hogy elromlott kettejük kapcsolata.,Halljam, gyerekek, ki a bűnös az ablak betörésében?"
bűnöző,5,"Olyan, aki bűncselekmény(eke)t követ el.",mn,"~k,~t,~je","Bűnöző fiatalok tartják rettegésben a magányos tanyák lakóit.,(Főnévi használatában:) Fiatalkorú bűnözőket fogott el a rendőrség.,Hivatásos bűnöző vált belőle.,Bűncselekmény elkövetésére irányuló.,Bűnöző hajlamainak engedve többször megsértette a törvényt."
bűnszövetkezet,2,Bűncselekmények elkövetésére szövetkezett nagyobb csoport.,fn,,"Gyakran lepleznek le bűnszövetkezeteket, de még így is sok működik."
büntet,5,Vétségért testi vagy lelki szenvedéssel vagy pénzbírsággal sújt valakit.,ige,,"Szobafogsággal büntették a szülei.,A bíróság elzárással büntette a garázda személyt.,A gyorshajtót nyolcezer forintra büntették."
büntetés,5,"Az a cselekvés, hogy valakit, valamit büntetnek.",fn,"~ek,~t,~e","Miután betörte az ablakot, elfutott, mert félt a büntetéstől.,A vétség elkövetőjére kiszabott testi, lelki vagy pénzbeli bírság.,Börtönben töltötte le büntetését."
büntetőrúgás,2,(Labdarúgásban:) Tizenegyes.,fn,,A 16-os vonalán belül elkövetett súlyos szabálytalanság miatt a bíró büntetőrúgást ítélt.
bürokrata,3,(rosszalló) A formákhoz mereven ragaszkodó hivatalnok.,fn,"*k,*t,*ja","Egy lélektelen bürokrata miatt fél éve elintézetlenül hever a kérvényem.,(Jelzőként:) A bürokrata ügyintézők fél napig küldözgettek ide-oda."
bürök,2,Mérgező gyomnövény.,fn,~je,Hamlet apját állítólag bürökkel mérgezték meg.
büszke,5,Büszke valamire : elégedett öröm tölti el miatta.,mn,"*k,*t,*n","Büszke a sikerére .,| Büszkén jár : emelt fővel, elégedetten.,Büszke valakire : öröm tölti el, hogy a vele kapcsolatban álló személy, dolog elismerésre méltó.,Büszke orvos fiára.,Mindig büszke volt hazájára.,Rátarti, zárkózott (személy).,Büszkén megy végig az utcán.,| (rosszalló) Túl büszke : gőgös, másokat nem sokra tartó.,(választékos) Szépségéhez illően méltóságteljes járású, délceg.,A büszke huszárok előttünk vonultak el.,Kiemelkedő, erőt, fenséget sugárzó.,A város büszke tornyainak sisakján csillog a napfény."
bütyköl,1,"(bizalmas) Barkácsol, szerel, javítgat valamit.",ige,,"A kamrában bütyköl valamit.,Bütyköl magának egy rádiót.,Egész hétvégén a kocsiját bütykölte."
bütyök,3,Vékonyabb csont ízületeinek kidudorodása.,fn,,"Bütyök nőtt a jobb lába nagyujján.,Kidudorodás növény szárán.,A gabonafélék szárát bütykök tagolják ízekre.,(bizalmas, tréfás) Kis növésű személy.,A kis bütyök nem éri föl a kapcsolót."
bűvész,3,A közönséget szemfényvesztő mutatványokkal szórakoztató személy.,fn,"~t,~e","A bűvész nyulat varázsolt elő cilinderéből.,(kissé rosszalló) Az a személy, aki rendkívüli ügyességgel művel valamit.,A szavak bűvésze, akkor is figyelni kell rá, ha nem mond semmit."
bűvöl,3,"(régi) Varázslattal igéz valamit, valakit.",ige,,"Álmot bűvölt rá.,Szerelmet igyekszik kelteni maga iránt valakiben.,Érzelmes pillantásokkal bűvöli a fiút.,(tréfás) Kitartóan néz valakit, valamit, hogy valamire rávegye.,Már vagy tíz perce bűvölöm a csapot, de csak nem jön belőle a víz."
bűvös,4,"Vélt csodás erővel, képességgel rendelkező.",mn,"~et,~en","Azt hiszi, elég egy bűvös szó, és minden megoldódik.,Nem tud kitörni a bűvös körből., Bűvös kocka : kisebb kockákból álló, három dimenzióban forgatható, oldalanként más-más színűvé rendezhető kocka mint játék.,Lenyűgöző hatású, igéző.,Bűvös pillantást vet a lányra."
bűz,4,Büdösség.,fn,"~t,~e",Orrfacsaró bűz áradt a csatornából.
cafat,3,"Foszlány, apró darab.",fn,"~ot,~ja","Cafatokban lóg rajta a ruha.,A tigris cafatokra tépte a húst.,(rosszalló, durva) Züllött, erkölcstelen, megvetett nő.,Az a cafat elcsábította a vőlegényét."
cáfol,5,"Tévesnek, alaptalannak, helytelennek nyilvánít valamit.",ige,,"Az újságok egy része cáfolja a hírt.,Ellentmond valakinek, bizonyítani próbálja állítása helytelenségét.,Gyakran cáfolja a tanárt."
cafrang,2,"Haszontalan cifraság, dísz.",fn,"~ot,~ja","Az egész öltözete tele van aggatva cafrangokkal.,(régi) Lószerszám, ruha fityegő dísze, bojtja.,A ló hátán levő takaró díszes cafrangokkal volt díszítve."
cakk,1,Szögletesen vagy félkör alakban levágott és beszegett díszítés.,fn,"~ot,~ja",Cakkot varr a terítőre.
cakpakk,1,"(népi vagy bizalmas) Holmi, cókmók.",fn,,"Minden cakpakkjával elköltözött.,(Határozószó-szerűen:) Cakpakk elszállították őket."
cammog,3,"Nehézkesen, lomhán lépked.",ige,,"Egy öreg barnamedve cammogott előttünk az ösvényen.,(bizalmas, rosszalló) Lustán, kényelmesen megy.,Szedd a lábad, ne cammogj!,Lassan, akadozva halad előre.,A csúcsforgalomban csak cammogtak a járművek."
cápa,4,"Nagy testű, ragadozó tengeri hal.",fn,"*k,*t,*ja","A vigyázatlan fürdőző emberevő cápa martaléka lett.,A cápa uszonyából, azt mondják, pompás levest lehet főzni."
cár,3,Az egykori orosz birodalom uralkodója.,fn,"~t,~ja","Nagy Péter cárról több filmet láttam.,(Régi kifejezésben:) Minden oroszok cárja."
CD,5,Cédé.,fn,"~-k,~-t,~-je",
cecelégy,1,Az álomkór okozóját terjesztő afrikai légy.,fn,,Megcsípte a cecelégy : a) megfertőződött az álomkórral b) (tréfás) nagyon álmos.
cech,2,(bizalmas) (Vendéglői) számla.,fn,"~et,~e,vagy,~je",Az ebéd után kifizeti a cechet.
cécó,2,"(bizalmas, rosszalló) Zajos, feltűnést keltő mulatozás.",fn,"~t,~ja","A szurkolók nagy cécóval ünnepelték csapatuk győzelmét.,Felhajtás, fölösleges parádé.,Nagy cécót csap körülötte.,Nincs ínyére a tiszteletére rendezett cécó., Nagy cécót csinál valamiből : agyonbonyolítja a dolgot.,Ne csinálj ekkora cécót mindenből!"
céda,2,"(választékos) Erkölcstelen, feslett.",mn,"*k,*t,*n","Az a céda nő a fiam után jár.,(Főnévi használatban:) Mindenét elvette az a céda."
cédé,4,"Barázdák nélküli, hosszú lejátszási idejű hanglemez, melynek felvétele és lejátszása digitális úton, lézersugár segítségével történik.",fn,"~k,~t,~je","A cédé előnye a hagyományos hanglemezzel szemben a kopásmentesség és a jobb hangminőség.,Karácsonyra a kedvenc együttesem új cédéjét kértem.,Ennek a számítógépekben használt, szöveg- és képrögzítésre is alkalmas változata.,A főiskolán cédén is elfogadják a tanárok a házi dolgozatot."
cédrus,2,"Meleg égövi, sudár növésű fenyőfajta.",fn,"~t,~a",Csontváry a magányos cédrus képében valójában saját magát festette meg.
cédula,4,Kisebb papírlap.,fn,"*k,*t,*ja","Elvesztette a cédulát, amelyre a címet felírta.,Cédulákra jegyzetel.,Kis alakú nyomtatott űrlap.,A postás cédulát hagyott a küldeményről."
cefre,2,Erjedő gyümölcs.,fn,"*k,*t,*je","A hullott barackot cukorral erjesztik egy hordóban, majd ebből a cefréből pálinkát főznek."
cég,5,"Bejegyzett vállalkozás, vállalat.",fn,"~et,~e","Céget alapít.,Ez megbízható cég, mindig velük dolgoztatunk., (tréfás) A cég reklámja : olyan személy, aki valamely közösség jó megítélését szolgálja.,| (gúnyos) Jó cég : kétes hírű személy."
cégér,2,"Általában a műhely, üzlet ajtaja fölé kifüggesztett mesterségjelvény.",fn,"~t,~e","A pékség cégére egy nagy fémperec.,Hírverés, reklám.,(rosszalló) Ürügy, álcázás.,Apja hírnevét cégérül használja saját érvényesüléséhez."
cégéres,1,"Olyan, amin cégér van.",mn,~et,"Cégéres bejárat jelzi a műhelyt.,(rosszalló, bizalmas) Hírhedt.,Cégéres gazember a szomszédom."
céh,4,(régi) Azonos foglalkozások zárt érdekvédelmi szervezete a középkorban.,fn,"~et,~e","Akit a céh nem vett fel tagjai közé, azt kontárnak tekintették.,(bizalmas) Azonos szellemi pályán működők nem szervezett köre.,Különféle irodalmi céhek különböztethetők meg., Egy céhbe tartoznak : azonos irányzatot, felfogást követnek."
cekker,2,(bizalmas) Bevásárlószatyor.,fn,"~t,~e",A szomszéd gyerek segített neki hazacipelni a zöldséggel teli cekkert.
cékla,2,Emberi fogyasztásra termesztett lilásvörös répaféle.,fn,"*k,*t,*ja",A nátha kiváló ellenszere a céklából készült ivólé.
cél,5,"Az, amire valaki törekszik.",fn,"~t,~ja","Az volt a célja, hogy meggyőzze az igazáról.,| Valami céljából : valami végett.,Pihenés céljából utazik el., Célul tűz ki valamit : céljának tart.,Célul tűzte ki a négyes átlagot.,Terv, szándék.,Az volt a célja, hogy elutazzon Törökországba.,Mi célod van ezzel?,Rendeltetés.,Milyen célra való ez a szerszám?,Valaminek kitűzött végpontja.,Az utazás célja Ciprus.,(Sportban:) A pálya kijelölt végpontja.,A cél az erdő túlsó szélén van., Célba ér : eléri a célt.,A futó fáradtan ért célba.,(Harcban, sportban, játékban:) Célpont.,A gyerekek célba dobnak., Célba vesz valamit, valakit : megcéloz."
celebrál,2,(választékos) Misét celebrál : (ünnepélyes) misét mond.,ige,,A plébános úr éppen misét celebrál.
célirányos,3,"Célravezető, hasznos.",mn,"~at,~an",Intézkedései célirányosak voltak.
cella,4,"(Börtönben, fogdában) zárka.",fn,"*k,*t,*ja","Cellájában semmi más nem volt, csak egy fekhely.,Szerzetes szűk kolostori szobája.,Egyszerűen berendezett cellájában imádkozott órákig.,(Valamilyen szerkezetben:) rekesz.,Az akkumulátor celláiban kénsav van."
cellux,4,Átlátszó ragasztószalag.,fn,"~ot,~a","Celluxszal is ragaszd le a borítékot, nehogy kinyíljon."
celofán,2,Átlátszó műanyag hártya.,fn,"~t,~ja",Celofánnal fedte be a befőttesüveg száját.
céloz,5,Fegyvert a célpontra irányít.,ige,,"A lövész a céltábla közepébe céloz.,Közvetve utal valakire, valamire.,Ezzel arra akar célozni, hogy a pártfogoltamat tehetségtelennek tartja?,(hivatali) Céloz valamit : ez a célja.,Az intézkedések a közbiztonság megerősítését célozzák."
célszerű,4,A célnak megfelelő.,mn,"~t,~en","A célszerű megoldást kell választani.,Gyakorlati szempontból megfelelő.,Célszerű bútorokkal rendezték be a termet.,Ajánlatos, helyes.,Célszerű szemüveget viselni hegesztéskor."
céltábla,2,"A lövészetben használt, ábrával ellátott tábla, amelyre lőnek.",fn,,"Többször is a céltábla közepébe talált.,(Tréfa, gúnyolódás) célpontja.,Sántasága miatt a gyerekek csúfolódásának céltáblája lett."
céltudatos,3,Célját világosan látó és elérésére tudatosan törekvő (személy).,mn,"~ak,~at,vagy,~t,~an","Céltudatos szülei kicsi kora óta egyengetik az útját az érvényesülés felé.,Szándékos, tudatos.,A mondat félreértelmezése céltudatos volt."
célzás,4,Valaminek a célbavétele.,fn,"~t,~a","Hosszú, nyugodt célzás után lőtte ki a nyílvesszőt.,Burkolt utalás.,Értem a célzást, azt akarod, menjek el."
célzat,3,Leplezett szándék.,fn,"~ot,~a","Azzal a célzattal tette, hogy előnyökhöz jusson.,Sugallat.,A regénynek politikai célzata volt."
cement,3,Építőipari kötőanyagul szolgáló szürke por.,fn,"~et,~je","Vízzel összekeverve a cement kőkeménnyé szilárdul.,Homok, kavics, cement és víz keverékéből készül a beton."
cent,3,"Váltópénz; az euró, az amerikai és kanadai dollár, illetve a holland forint századrésze.",fn,"~et,~je",Az automatába ötven centet kell bedobni.
cent,2,(bizalmas) Centiliter.,fn,,Három cent konyakot rendelt.
centiméter,5,"Mértékegység, a méter századrésze.",fn,,"Egy deciméter tíz centiméter.,Ilyen hosszúság.,Két centiméterrel rövidebbre vágta a lécet.,Mérőszalag.,A szabó centiméterrel méretet vett róla a ruhához."
centrifuga,3,Mosott ruha víztelenítésére való háztartási gép.,fn,"*k,*t,*ja","A centrifuga csak akkor működik jól, ha egyenletesen osztjuk el benne a ruhát.,Általában bármilyen, a centrifugális erő elvén alapuló berendezés.,A gyümölcslét centrifuga segítségével kapjuk a gyümölcsből."
centrum,4,"Központ, belváros.",fn,"~ot,~a","A város centruma már csak két kilométerre van.,Középpont.,A tér centrumában áll a gótikus templom.,Középpárt.,A parlamentben a jobb- és baloldal között foglal helyet a centrum."
cenzor,2,A cenzúra feladatát (hivatalból) végző személy.,fn,"~t,~a",A cenzor kihúzta a kényes mondatokat a kéziratból.
