word,frequency,word_class,word_endings,example_sentences
gitár,4,fn,ok t ja,"Lapos, karcsú nyakú, általában hathúros pengetős hangszer. Az arab eredetű gitár Spanyolországból terjedt el a XIII. századtól kezdve. Elektromos gitáron is megtanult játszani. (szleng) Géppisztoly. Ereszd rájuk a gitárt!"
gittegylet,1,fn,,"Jelentéktelen ügyekkel foglalkozó, de fontoskodó szervezet. Fölöslegesen dolgozol abban a gittegyletben, úgysem csináltok semmi hasznosat."
gizgaz,2,fn,ok t a,"Mindenféle gaz, haszontalan növény vegyesen. „Hej, égig-nyúló giz-gazok, Hát nincsen itt virág?” (Ady E.: A magyar"
gladiátor,2,fn,ok t a,A rómaiak cirkuszi játékain emberrel vagy vadállattal életre-halálra megküzdő rabszolga. A gladiátorok küzdelmét ezrek nézték borzadállyal vegyes élvezettel.
gleccser,2,fn,ek t e,"Magas hegyek lejtőjén lassan lecsúszó jég, fagyott hótömeg. A gleccsernek a völgyben megolvadó vizéből gleccserpatak"
gléda,1,fn,,"ragos alakban) (bizalmas) A tanár intésére máris glédában állnak a diákok. Mindig rendet tart, könyveit is glédába állítja az asztalán."
globális,4,mn,ak t an,"Összefoglaló, átfogó. A vállalat globális tervet dolgozott ki termékeinek reklámozására. Az egészre vonatkozó, valaminek az összességére kiterjedő. A cég globálisan nyereséggel zárta az évet, de egy-két üzeme veszteséges volt. A globális olvasástanítási módszer a magyar iskolákban nem volt olyan eredményes, mint a hagyományos szótagolva tanítás. Földre, a földkerekségre vonatkozó. Az éghajlatkutatók többsége szerint a globális felmelegedés következtében az alacsonyan fekvő tengerparti országok egy része víz alá kerülhet."
globalizáció,5,fn,t ja,"Az egész világra kiterjedő gazdasági, politikai, kulturális egységesülés irányába ható folyamatok összessége. A globalizáció korában minden nemzetnek törekednie kell arra, hogy érvényesíteni tudja saját érdekeit, megőrizze függetlenségét és kultúrájának értékeit."
glória,3,fn,,"Fénykoszorú, fénykorong. A szentek feje fölött glória ragyog. Misék szövegének ezzel a szóval kezdődő része. énekli a kórus Verdi gyászmiséjéből."
gnóm,2,fn,ok ot ja,"~ok, ~ot, ~ja Alacsony, torz alakú ember. A rajzfilmben a főszereplőnek egy visszataszító külsejű gnóm volt a barátja, aki a derekáig se ért."
góbé,1,fn,k t ja,"(régi) Székely ember. A góbék csavaros eszén nehéz túljutni. (ritka) Furfangos, ravasz ember. Nagy góbé az öreg, mindenkit megtréfál."
gobelin,2,fn,ek t je,Kézzel szőtt faliszőnyeg. A falat befedő óriási gobelin bibliai jelenetet ábrázol. Ezt utánzó hímzés. Kis rámán gobelint készít anyák napjára.
góc,3,fn,ok ot a,"(választékos) Bajnak, káros folyamatnak a kiindulópontja, eredő helye. Egy rossz fog lehet a gyulladás góca. A mozgalom góca egy kisváros. (ritka) Központ. A város ipari és kereskedelmi góc. Fontos közlekedési útvonal metszéspontja. az ország vasúti hálózatának egyik góca."
gógyi,1,fn,t ja,"(népi, tréfás) Ész, találékonyság. Van itt gógyi. Annyi gógyija csak van, hogy fedett helyre áll, ha esik."
gokart,1,fn,ok ot ja,"~ok, ~ot, ~ja Nyitott, karosszéria nélküli, kisméretű, kiskerekű versenyautó. Az autóversenyzőnek készülő gyerek egyelőre csak gokarttal versenyezhet."
gól,5,fn,ok t ja,(Bizonyos csapatjátékokban) a labdának az ellenfél kapujába való szabályos bejuttatása. A futballmeccs legjobb játékosa két gólt rúgott és egyet fejelt a hálóba. A kézilabdások 20 gólt dobtak az ellenfélnek. (Az eredmény egységeként:) Csapatunk két góllal vezet.
golf,3,fn,ot ja,"Szabadban űzött labdajáték, melynek során a füves pályán végighaladva egy kis tömör gumilabdát kell botszerű ütővel a lyukakba bejuttatni. A golf kitűnő testedzés, de versenysportként is egyre népszerűbb."
golgota,3,fn,,"(választékos) Nagy lelki szenvedés, fájdalom. Nehezen viselte a válás golgotáját. : nagy lelki szenvedést él át. balesete után nehéz időket élt át, valósággal golgotát járt."
gólya,5,fn,,"Fehér és fekete tollú, hosszú csőrű, hosszú lábú költöző madár. Kéményünkön gólya kelepel. A gólya a sekély vízben gázolva békákra vadászik. (bizalmas) (A szül(et)ésre vonatkozó, régebben, különösen gyermekek előtt használt kifejezésekben:) Nálunk járt a gólya kisbabát hozott a gólya kisgyermek született. Elsőéves egyetemi, főiskolai, illetve középiskolai Az első félév végére a gólyák is kiismerik magukat az egyetem épületében."
gólyabál,2,fn,,"Elsőéves egyetemi, főiskolai hallgatók bálja. A gólyabált általában a tanév elején rendezik meg."
gólyahír,1,fn,,"Nedves réteken élő, tavasszal nyíló, aranysárga virágú növény. A mocsári gólyahír a tavasz hírnöke."
gólyaláb,2,fn,,"Két lábra erősített hosszú faléc. Régen a mocsárban jártak gólyalábon, ma játékszerként vagy vásári mulatságon használják. (tréfás) Nagyon hosszú láb. Te könnyen átugrod az árkot a gólyalábaddal."
gólyamese,1,fn,,"Születésnek az a (kisgyermekek számára kitalált) magyarázata, hogy a gyermeket a gólya hozza. Már nem hisz a gólyamesében."
golyhó,1,fn,k t ja,"(választékos, kedveskedő) Bolondos, ügyefogyott, tudatlan ember. Ne butáskodj, te golyhó! (népi) Nehézfejű, oktondi Nehéz ezekkel a tapasztalatlan golyhókkal."
golyó,5,fn,k t ja,"Gömb alakú, kisebb, rendszerint tömör tárgy. Jégeső volt, apró fehér golyók borítják a földet. Kiszedte a csapágyból a Játékszerül használt, általában üvegből, műanyagból, ritkábban fából, fémből, csontból készült gömb alakú tárgy. A gyerekek színes golyóikkal játszanak az udvaron. A biliárd golyói régen elefántcsontból készültek. Lőfegyver lövedéke. Három golyót lőtt ki, de mind a három célt tévesztett. Golyó általi halálra ítélték."
golyóstoll,4,fn,,"Olyan toll, amelynek hegyén egy kis forgó golyó viszi rá a festéket a papírra. A golyóstollal gyorsabban lehet írni, mint a hagyományos töltőtollal."
gomb,5,fn,ok ot ja,"~ok, ~ot, ~ja Kis lyukas vagy füles korong, amellyel ruha nyílását lehet összefogni úgy, hogy ezt a ruha egyik részére varrják, és a másik részen levő lyukba vagy hurokba bújtatják. Felvarrja az ingre a gombot. A ruhának ezek a nagy gombjai csak dísznek vannak, nem lehet őket ki- és begombolni. Valamely tárgyon, különösen annak végén levő, díszítésre vagy gyakorlati célra használatos, nagyjából gömb alakú (alkat)rész. A vívók tőrének a hegyén apró gomb van, hogy a sportolók ne sebezzék meg egymást. Amerikában sok helyen az ajtókon nem kilincs, hanem gomb van. Szerkezetnek ki- és bekapcsolására, illetve működésének szabályozására való, ilyen alakú alkatrész. Megnyomta a csengő gombját. A rádiót a gomb elfordításával kapcsolta be. (Gombfociban:) Sima aljú, pöckölhető kis korong."
gomba,5,fn,,"Szerves vegyületek lebomlásával táplálkozó, a talaj fölött tönkből és kalapból álló, húsos testű, levélzöld nélküli sajátos Európában több száz ehető és egy-két tucat erősen mérgező gomba nő. Az ehető gomba mint étel. töltött gombát csináljak vacsorára? A gombák rendszerének valamelyik osztályába tartozó, gyakran szabad szemmel nem látható élősködők egyike. Gombák alakítják át az aludttejet sajttá. Az élesztő egysejtű gomba. A növények és az élelmiszerek penészedését gombák okozzák. A gombák egy része emberen, állaton élősködve betegséget, például bőrgombásodást okoz. Kör alakú, kisebb kereskedelmi egység. Találkozzunk a gombánál, ahol buszjegyet árulnak. A sarki gombában vettem tejet."
gombfoci,2,fn,,Asztalon pöckölt gombokkal a labdarúgáséhoz hasonló szabályok szerint játszott játék. Terepasztalt kért a gombfocihoz születésnapjára.
gombház,1,fn,,"A ruhára varrt hurok vagy gomblyukas pánt, amelybe a gombot bebújtatják. Gombházat horgolt a mellényre."
gombóc,3,fn,ok ot a,Gömbölyűre formált főtt tészta. Szilvás gombócot ettek ebédre. (bizalmas) Gömbölyűre gyúrt puha anyag. formált a vizes homokból. Két gombóc fagylaltot kérek.
gombol,3,ige,ni,"Gombbal összekapcsol valamit. A kabátját gombolja, mindjárt indul."
gombolyag,2,fn,ok ot ja,"~ok, ~ot, ~ja Hosszú fonalból tekert gömb. A cica a kézimunkakosaramból kiesett gombolyaggal játszik. A pulóverhez öt gombolyag fonalra lesz szükség."
gombolyít,2,ige,ani,Gombolyagba teker valamit. Motollával vagy kézzel gombolyítja a fonalat.
gombostű,3,fn,,"Rögzítésre használatos tű, amelynek kicsúszását az egyik végén levő apró gömb akadályozza meg. Fércelés előtt gombostűvel tűzi össze a ruha darabjait."
gomboz|ik,1,ige,ni,"Gombokkal játszik. A szomszéd gyerekek szeretnek gombozni, most is kiszórták az egész gombos dobozt. Minden szombat délután gombozik a barátjával."
gomoly,2,fn,ok t a,"(választékos) Valaminek gömbölyded tömege, csomója. Gomolyokban száll fel a füst."
gomolya,1,fn,,"Juhtejből készült, fehér, lyukacsos sajt. Negyed kiló gomolyát vett a piacon."
gond,5,fn,ok ot ja,"~ok, ~ot, ~ja Szorongást, nyugtalanságot okozó ügy, nehézség. Nem érek rá, ezer a gondom. Amióta nincs munkája, filléres gondjai Emiatt kialakult nyugtalanító lelkiállapot. Sok gondjába kerül a gyerekek nevelése. Nem csinál nagy gondot a főzésből, gyakran konzervet eszik. Körültekintő alaposság, gondosság. Nagy gonddal ápolja a beteget. valaminek a szükségleteiről, jólétéről való gondoskodás. Gondjaiba veszi a gazdátlan kutyát, ezután ő törődik vele. Betegsége idején a testvére gondjára bízta a gyerekeket, aki megígérte, hogy gondot visel rájuk."
gondatlan,3,mn,ok t ul,"Olyan személy, aki felületesen, hanyagul végzi a dolgát. A gondatlan anya nem szoktatta rendszeres fogmosásra a Ilyen személyre jellemző, tőle származó. Gondatlan munkát végzett, sok hibával."
gondnok,4,fn,ok ot a,"Épületre, ennek berendezésére, szabályszerű működésére stb. felügyelő személy, aki esetleg az intézmény gazdasági ügyeit A szertár kulcsát az iskola gondnokától kell elkérni. Kiskorú gyermek vagy cselekvőképtelen személy személyi és anyagi ügyeinek az intézője. Nagybátyját nevezték ki a kis árva gondnokának."
gondol,5,ige,ni,"Eszébe ötlik, tudatában felbukkan valami. Azt gondoltam, menjünk el sétálni. Gondolatai valakire, valamire irányulnak, Sokszor gondol vidéki barátjára. Valamire utal, céloz, valamit ért valamin. A szerző itt elsősorban a hajléktalanok problémáira gondol. Képzel, hisz vagy sejt valamit. Azt gondoltad, hogy képes lennék ilyen aljasságra? Mindjárt gondoltam, hogy elfelejtetted elhozni a könyvet. (kissé népi) Törődik valakivel, valamivel. Gondolj néha szegény öregekkel is!"
gondola,2,fn,,"Felgörbülő orrú, hosszú, keskeny csónak. A velencei lagúnákon gondolák suhannak. Önkiszolgáló üzletben állványszerű A gondolák között úgy eltévedtem, hogy nem találtam, amit kerestem."
gondolat,5,fn,ok ot a ja,"vagy (népi, régi) A gondolkodás eredménye. A naplójába írja le a gondolatait. Felelés előtt szedd össze a gondolataidat! bölcs gondolata. Gondolatban mindig vele vagyok. Nagy gondolatok csak ritkán születnek. Elképzelés, feltevés, sejtés. „Egy gondolat bánt engemet Ágyban, párnák közt halni meg!” (Petőfi S.: Egy gondolat bánt (választékos) Gondolkodás mint folyamat. Küzd a gondolat szabadságáért. Egy gondolattal gondolattal rövidebb a kabát, mint szeretném."
gondolatjel,3,fn,,"Közbeékelést, félbeszakítást, párbeszéd kezdetét jelző írásjel. A gondolatjel hosszabb, mint a kötőjel, és előtte, utána kihagyunk egy betűnyi helyet."
gondolkod|ik,5,ige,ni,"Értelmét (rendszeresen) foglalkoztatja valamivel. Az embert elsősorban az különbözteti meg az állattól, hogy gondolkodik. Gondolkodik valamin figyelmét, értelmét arra irányítja. Mielőtt belekezd valamibe, előbb gondolkodik rajta. gondolkodik valamiről : valamilyen véleménye van róla. Hogy gondolkodsz erről a kérdésről? Valamilyen gondolkodásmód Humánusan gondolkodik. Nem csupán a jelen érdekli, a jövőben is gondolkodik. Valamin gondolkodik lehetőségét fontolgatja. Már azon gondolkodott, hogy külföldön vállal munkát."
gondolkoz|ik,5,ige,ni,"Gondolkodik, töpreng valamin vagy valamiről. Azon gondolkozik, hol tanuljon tovább."
gondos,4,mn,ak at an,"~ak, ~at, ~an Valakivel, valamivel sokat törődő, feladatait lelkiismeretesen ellátó (személy). A gondos anya nem engedi iskolába gyermekét reggeli nélkül. Ilyen személyre jellemző, tőle származó (cselekedet, magatartás). A beteget gondos ápolásban részesítették. Ez a dolgozat végre gondos munka!"
gondoskod|ik,5,ige,ni,"Gondoskodik valakiről, valamiről biztosítja a létfenntartását. Az állam gondoskodik az árva gyermekekről. gondoskodik erről a szegény kóbor kutyáról. Gondoskodik valakiről : segítőkészen foglalkozik vele. Gondoskodik az idős Gondoskodik valamiről Időben gondoskodott téli tüzelőről. Gondoskodik róla, hogy … hogy elvégezzenek valamit, illetve hogy valami megtörténjék. Gondoskodtam róla, hogy ne zavarjon senki. Gondoskodj róla, hogy elszállítsák a bútort."
gondoz,4,ige,ni,"Gondját viseli valakinek, valaminek, ellátja a vele kapcsolatos tennivalókat. Nemcsak a kisgyermekét, hanem beteg nagymamáját is gondoznia kell. Ha nem gondozzátok a kertet, elvadul. Bánik valamivel, kezel valamit. Elmondom, hogyan gondozd a kocsidat."
gondozó,4,fn,k t ja,Gondozással foglalkozó személy. A munkanélküliek bajba jutott családját felkeresi a szociális gondozó. Az állatokat a gondozóik etetik. (bizalmas) Gondozással foglalkozó intézmény. A betegnek a teljes gyógyulásig rendszeresen járnia kell a
gondtalan,4,mn,ok t ul,"Gondok nélküli. Gondtalan gyerekek játszanak a kertben. Húszéves koráig vidám, gondtalan életet élt."
gondterhelt,2,mn,ek et en,"~ek, ~et, ~en Olyan (személy) akinek sok gondja van. Gondterhelten gubbaszt a szoba sarkában. Ilyen személyre jellemző. gondterhelt arccal járkál."
gondviselés,4,fn,t e,"Gondoskodás, törődés. Felnőtt létére még mindig szülői gondviselésre szorul. (A vallásos gondolkodásban:) Az Istennek állandó, minden létezőre kiterjedő segítő gondoskodása. Bízott az isteni gondviselésben, ezért nem rettegett a munkanélküliségtől."
gong,2,fn,ok ot ja,"~ok, ~ot, ~ja Ütésre konduló fémkorong. Megszólalt a gong, mehetünk ebédelni. Gongütés, gongszó. A harmadik gongra felgördül a függöny, kezdődik a színházi előadás. Az ökölvívót csak a gong mentette meg a kiütéstől. Ázsiai eredetű, korong alakú réz A zeneszerző két gongot is előírt a partitúrában."
gonosz i.,5,mn,ak t at ul an,"Olyan, aki másoknak bajt okoz, árt. Gonosz mostohája rongyokban járatta Hamupipőkét. Ilyen emberre jellemző. Mindenki fél a szomszéd gonosz nyelvétől, rosszindulatú pletykáitól. (bizalmas, túlzó) Rakoncátlan, pajkos. kölyök már megint késik! Pusztító hatású. Gonosz betegség kínozza."
gonosz ii.,5,fn,ok t a,"Gonosz ember. A gonoszok kevesebben vannak, mint a jók, de általában nagyobb a hatalmuk. (Babonában:) Ártó szellem. Megrontották a gonoszok. (ritka) Rossz cselekedet. Aki gonoszat cselekszik, bűnhődik."
gonoszkod|ik,1,ige,ni,"Incselkedik, kötekedik valakivel. Ne gonoszkodj vele! (ritka) Gonoszul bánik valakivel. Gonoszkodik a gyerekekkel, gyakran a kezükre csap."
gonosztevő,3,fn,k t je,"Súlyos bűnöket, ártalmas tetteket elkövető személy. A veszedelmes gonosztevőt az egész országban keresi a rendőrség."
gordiuszi,1,mn,ak t,(választékos) (Csak ebben a kifejezésben:) Gordiuszi csomó bonyolult kérdés.
gordonka,2,fn,,"Mély hangú vonós hangszer, amelyet két térd közé állítanak, úgy játszanak rajta. Szeretem hallgatni gordonkájának meleg, búgó hangját."
góré,1,fn,k t ja,Csöves kukorica szárítására és tárolására való szellős építmény. Az udvar végében áll a lécekből készült góré. Egy ócska góréban lakott.
góré,2,fn,k t ja,"Vezető, igazgató. Ki itt a góré?"
gorilla,3,fn,,"Az afrikai őserdőben élő, nagy testű, rendkívül erős emberszabású majom. A gorillának félelmetes a külseje, pedig valójában szelíd, növényevő állat. A hegyi gorilla veszélyeztetett állatfaj. (szleng) Testőr. Vigyáznak rá a gorillái."
goromba,4,mn,,"Durva, kíméletlen. Egy goromba autóvezető szitkokat szórt az úton átkelő gyalogosokra. Nem tűröm ezt a goromba hangot, (népi) Durva felületű vagy durvára vágott, tört. Töri a nyakát a goromba szövetből varrt kabát. Gorombára vágott dió kell a süteménybe."
gót,3,mn,ok ot ul,"~ok, ~ot, ~ul Kihalt keleti germán néphez tartozó, vele kapcsolatos. Gót harcost ábrázol a kép. (Főnévi használatban:) népvándorlás korában éltek. (ritka) Gótikus. A gót stílus szereti a csúcsívet. Szögletes, tört vonalú, főként a németek által használt (betűtípus). A gót betűt egyre ritkábban használják."
gótika,2,fn,,"A magasba törő, csúcsíves formákat kedvelő középkori építészeti stílus. A gótika legjellegzetesebb építményei az óriási székesegyházak. Ennek az építészeti stílusnak a korszaka. Szeretem a gótika festészetét is."
gótikus,3,mn,ak at an,"~ak, ~at, ~an A gótikára jellemző vonásokat mutató. A budavári ásatások során ritka gótikus szobrokat találtak."
göböly,1,fn,ök t e,"Hizlalásra fogott szarvasmarha, különösen ökör. „Gazdag legelőkön Visz az út keresztül ott hever a gőböly”"
göcsörtös,2,mn,ek et en,"~ek, ~et, ~en Görcsök, csomók miatt egyenetlen. Levágott az öreg fáról egy göcsörtös ágat botnak. Göcsörtös, rossz út vezet a tanyához. Az öregember durva, göcsörtös, eres kezébe fogta a kisfiú sima, puha ujjait."
gödény,1,fn,ek t e,"Nagy testű vízimadár, amely hosszú csőre alatt bőrzacskót visel. A gödények családjába tartozik a rózsás és a borzas gödény."
gödölye,2,fn,,A fekete és fehér szőrű gödölyék vidáman ugrándoztak anyjuk körül.
gödör,5,fn,,"gödrök, gödröt, gödre Többé-kevésbé szabályos alakú, természetes vagy mesterséges, meredek falú mélyedés a talajban. Gödröt ás, abba állítja a (népi) Mélyebben fekvő sík terület. A gödörben nem terem meg semmi. Kis kerek bemélyedés az arcon. nevet, két kis gödör jelenik meg az arcán."
gőg,4,fn,öt je,"Másokat lenéző, elbizakodott önhittség. Elvakítja a gőg, azt hiszi, csak neki lehet igaza. (választékos) Büszke öntudat. Endre a zsenik gőgjével tekintett a középszerű konzervatív írókra."
gőgicsél,1,ige,ni,(Csecsemő) értelmetlen hangokat ejt ki. A kisbaba jóllakottan sokat gőgicsél.
gőgös,4,mn,ek et en,"~ek, ~et, ~en Önhitt, másokat megvető. Gőgösen viselkedik. Osztálytársai gőgösnek tartják, mert nem áll szóba a nála rosszabb tanulókkal."
gömb,5,fn,ök öt je,"~ök, ~öt, ~je Olyan felülettel határolt mértani test, amelynek minden pontja egyenlő távolságra van a középponttól. A gömb térfogatának kiszámítását tanuljuk matematikából. Ilyen alakú tárgy. A református templom csúcsán fémből készült gömb van. A megzavart sün gömbbé húzza össze magát."
gömböc,2,fn,ök öt e,"(népi) A disznó gyomrába belsőségekből, bőrből, fejhúsból töltött étel. Disznóöléskor gömböcöt is készítettek. Alacsony és kövér(kés) személy. A barátnője kis gömböc."
gömbölyded,2,mn,ek et en,"~ek, ~et, ~en A gömb alakjához hasonló, de nem egészen gömbölyű. Ez a fa gömbölyded sárgabarackot terem. Gömbölyded termete ellenére mindenki formásnak, csinosnak tartja."
gömbölyű,4,mn,ek t en,"Gömbhöz hasonló alakú. A Föld gömbölyű. A bútorgyártáshoz gömbölyű szálfákat kell kivágni. (test, testrész). Büszke gömbölyű kebleire, de szintén gömbölyű karját inkább hosszú ruhaujjakkal takarja. (bizalmas) Kerek. A sarokban áll egy háromlábú, gömbölyű asztal. A kis gömbölyű pénzdarabok szanaszét gurultak."
gönc,2,fn,ök öt e,"(népi, rosszalló) Rossz ruhákból álló batyu. Hátára kapta a göncét a szegény hajléktalan. Ócska, divatjamúlt holmi. Ennek a sok göncnek nem találok helyet."
göndör,4,mn,ek t en,"Csigákba vagy gyűrűkbe csavarodó (haj, szőrzet). Göndör haja van. Egy göndör szőrű kuvasz szaladt a kapuhoz. hajú vagy szőrzetű. Ki ez a göndör kislány? Szeretnék egy göndör kiskutyát."
göngyöl,2,ige,ni,"Henger alakúra teker, csavar valamit. Egy rúdra göngyöli a vásznat. (Hengeres tárgyat) valamibe burkol, csomagol. Papírba göngyöli az üveget."
göngyöleg,2,fn,ek et e,"Csomóba göngyölt anyag. A textilboltban vastag göngyölegekben állnak a szövetek a polcokon. Két göngyöleg vásznat kérek. (hivatalos) Áru csomagolása, burkolata. Mindenféle göngyöleg láda, doboz, palack áll a bolt udvarán."
görbe i.,4,mn,,"Törés nélkül hajló. Először egy görbe vonalat rajzolt a papírra. Az egyenestől kissé eltérő. A görbe fatörzs ráhajlik a virágokra. Ne ülj ilyen görbe háttal! Ív alakúan hajlított. A törökök szívesen használtak görbe kardot. A görbe tükör eltorzítja a képet. (Kifejezésekben:) a megszokottól eltérő, mulatozással töltött. | Görbe szemmel néz valakire haragosan, rosszallón rosszindulatot mutat, táplál iránta. | Görbe úton jár tisztességtelenül cselekszik."
görbe ii.,4,fn,,A mértanórán egy görbét rajzolt a tanár a táblára. A következő görbe az eredmények javulását
görbül,3,ige,ni,"Egyre görbébbé válik. A kisfiú tátott szájjal nézi, hogy görbül patkóvá a vas a kovács keze alatt. Az anyóka háta egyre jobban görbül a sok cipekedéstől. Görbül a horgászbot, rákapott a hal a csalira. (Száj szomorúságtól, sírástól) ferdévé válik, lefelé húzódik. „Mért görbül kicsikém a szád? Új inget gondolok reád” (József A.: Dúdoló). Sírásra görbül a szája Görbén hajlik valamerre. A tacskónak kifelé görbül a lába."
görcs,4,fn,ök öt e,"Letört vagy levágott ágak benőtt maradványa. Sok görcs van a fán. (gúnyos) Fejletlen, csenevész ember vagy más élőlény. Mit akar itt ez a kis görcs? Görcs maradt a malac, nem fejlődik. (népi) Csomó. Görcsöt köt a kötélre. Az izmok fájdalmas összehúzódása. Görcsöt kapott a lába az állástól. Görcsei vannak, görcsoldót kell bevennie. Görcsökben fetreng."
görcsöl,2,ige,ni,(népi) Csomóz valamit. Görcsöli a kötelet. Görcsösen fáj. Sokszor görcsöl a hasa.
gördeszka,3,fn,,"Az egyik lábbal hajtott, négy kis keréken gördülő rollerszerű játékszer. Gördeszkán száguldott a járdán."
gördít,4,ige,eni,"Meglök valamit, hogy gördüljön (valahova). Egy követ gördített a kapuhoz, hogy ne csukódjon be. Gördítsd a zongorát a Akadályokat gördít valaki elé megakadályozza valamiben."
gördül,4,ige,ni,"(választékos) Gurul, gurulva eljut valami valahova. Kő gördült a lábunk elé. Akadályok gördültek az útjába nehézségei támadtak. (Folyadék) gyors cseppekben folyik, fut valahova. A lány szeméből könnyek gördültek a kezére. Kerekein halad. gördült a bejárat elé. (Valaminek a menete, általában beszéd) zökkenőmentesen, folyamatosan halad. Szavai könnyen"
gördülékeny,2,mn,ek et en,"~ek, ~et, ~en Könnyed, folyékony. Gördülékeny előadást tartott. Írásainak stílusa gördülékeny."
görény,3,fn,ek t e,"Sötétbarna szőrű, menyétféle ragadozó. A görény elvitte a csirkéket. A görény veszélyben átható bűzt bocsát ki magából."
görget,4,ige,ni,Többszöri lökéssel gördít valamit. A hordót a szekérhez görgették.
görkorcsolya,3,fn,,"Lábra csatolható, kis kerekeken gördülő sporteszköz. Az idomított medvék ügyesen kergetőznek görkorcsolyáikon. Holnap görkorcsolyával megyek iskolába."
görnyed,4,ige,ni,"Valaki meghajlik, háta erősen meggörbül. Görnyed a teher alatt. hétrét görnyed valaki előtt meghajolva) alázatot mutat megalázkodik. Munka közben valami fölé hajlik, sok üléssel járó munkát végez. éjfélig is tankönyvei fölött fölé görnyed. Egész héten a hivatalban görnyedt, jólesik most a kikapcsolódás. (választékos) A terített asztal szinte görnyedt a sok finomságtól."
görög,3,ige,ni,(Gömbölyű tárgy) nehézkesen döcögve (lefelé) gurul. Görögnek a kövek a hegyoldalról. (választékos) A földhöz lapulva lassan halad. „Lomha földi békák szanaszét görögnek” (Arany J.: Családi kör).
görög,2,mn,ök öt ül,"~ök, ~öt, ~ül A túlnyomórészt Görögországban élő, indoeurópai nyelvet beszélő néphez tartozó, vele kapcsolatos. A görög emberek igen vendégszeretők. Nem mindenki kedveli a fűszeres görög konyhát. Görög szokás szerint déltájban hosszabb pihenőt tartottak. (Főnévi használatban:) Egy görög sosem érezheti otthon magát a borús északon. A régi görögök teremtették meg az európai kultúra alapjait. A görögök, elsősorban az ókori görögök által létrehozott. A görög mitológia, filozófia, irodalom, művészet az európai művelődés legfőbb forrása. A bizánci birodalomban kialakult keresztény szertartásokat követő. Görög katolikus vagy görögkeleti vallású? A görög nyelvvel kapcsolatos. Ismeri a görög ábécét. klasszikus görög, ógörög Homérosz görögül írt. mai görög, újgörög nyelven. Görögországban született, de már keveset ért görögül. használatban:) Görögöt tanul az iskolában. A görög nép lakta területtel kapcsolatos. Körbehajózták az egész görög szigetvilágot Korfutól Krétáig."
görögdinnye,3,fn,,"Nagy, gömbölyű, sima zöld vagy csíkos héjú, piros bélű lédús gyümölcs. Evett egy szelet görögdinnyét. A görögdinnyében sok apró, fekete mag van."
görögkeleti,2,mn,ek t,"Kelet-Európában elterjedt, a pápa fennhatóságát el nem ismerő keresztény egyházhoz tartozó, vele kapcsolatos. Budapesten is van több görögkeleti templom. (Főnévi használatban:) A görögkeletiek templomában a hajó és a szentély között díszes szentképfal emelkedik."
görögtűz,2,fn,,"Tűzijátékhoz használatos, piros fénnyel égő vegyi anyag. Megrendelték a tűzijátékhoz a görögtüzet. Ennek lassan égő lángja, fénye. A tűzijáték végén görögtüzet is láthattunk. Tartalom nélküli külsőség, üres csillogás. Amit itt látunk, csak görögtűz, nem igazi művészi előadás."
göröngy,2,fn,ök öt e,"Csomóvá száradt földdarab. A göröngyöket egyenként verte szét a gereblye fokával. (választékos) Kisebb-nagyobb nehézség, buktató. Életútját sok göröngy nehezítette."
gőte,2,fn,,"Kétéltű, gyíkszerű állat. A tarajos gőte hímjének hátán magas taraj húzódik végig."
gőz,5,fn,ök t e,"Párolgással keletkező légnemű anyag. A víz 100 °C-on gőzzé alakul át. Víz forralásakor keletkező ilyen anyag. gőzben párolódik. A mozdonyt gőz hajtja. Teljes gőzzel teljes erővel, energiával. Teljes gőzzel előre! – kiáltott a hajóskapitány. (bizalmas) Fürdő, amelyben gőzkamrában lehet izzadni. Rendszeresen jár a gőzbe. (rosszalló) Mámor. hatalom gőze elhomályosította ítélőképességét."
gőzgép,2,fn,,"A vízgőz feszítő erejét munkává, mozgási energiává átalakító gép. A gőzgép volt az első olyan erőgép, amely lehetővé tette a közlekedés és az áruszállítás gépesítését és tömegessé válását. Gőzgép hajtotta a régi gőzmozdonyokat, gőzhajókat is. „Vas sinen a gőzgép nagy terhet vonva közelget” (Arany J.: A reggel)."
gőzöl,2,ige,ni,"(Betegséget) gőzzel kezel, gyógyít, illetve ilyen gyógymódot alkalmaz. Kamillával gőzöli nátháját. Az orvos azt tanácsolta, hogy esténként gőzöljek. Gőzzel tartósít valamit. Gőzöli a befőttet. Gőzzel vasal valamit. Gőzöli a nadrág élét. Még gőzöl az ebéd."
graffiti,2,fn,k t je,"Falfelületre kézzel, festékszóróval fölírt vagy fölrajzolt alkalmi szöveg, rajz. Az aluljáró falát nehezen eltávolítható graffitik csúfítják el. A graffiti művészi színvonalú is lehet egy festékfújás közben tetten ért alkotóra bízták egy prágai szálloda sörözőjének díszítését."
grafika,4,fn,,"A képzőművészetnek a karcok, metszetek, rajzok készítésével foglalkozó ága. Láttam egy kiállítást a magyar grafika történetéből. Így készített műalkotás. Vett néhány grafikát a lakásába."
grafikon,3,fn,ok t ja,Adatok változását könnyen áttekinthetően ábrázoló vonalas rajz. Grafikon mutatja a havi hőmérséklet várható alakulását.
